№	Учебное заведение	Округ	Район	Адрес
22	Российский институт театрального искусства (ГИТИС)	ЦАО	Арбат	Малый Кисловский переулок, д. 6
23	Национальный исследовательский ядерный университет «МИФИ»	ЮАО	Москворечье-Сабурово	г. Москва, Каширское ш., 31
24	Московский государственный институт международных отношений (МГИМО)	ЮЗАО	Тропарёво-Никулино	г. Москва, проспект Вернадского, 76
25	Российский государственный университет нефти и газа (НИУ) им. И.М. Губкина	ЮЗАО	Гагаринский	Москва, Ленинский пр-т., д. 65
26	Школа-студия МХАТ	ЦАО	Тверской	Москва, Тверская улица, дом 6, строение 7
27	Московский государственный университет геодезии и картографии (МИИГАиК)	ЦАО	Басманный	Москва, Гороховский переулок, дом 4
28	НИУ Московский институт электронной техники МИЭТ	ЗелАО	Старое Крюково	Москва, площадь Шокина, дом 1
29	Финансовый университет при правительстве Российской Федерации (ФА)	ЦАО	Аэропорт	Москва, Ленинградский проспект, 49-55
30	Российская академия народного хозяйства и государственной службы, РАНХиГС	ЦАО ЮЗАО ЮВАО СВАО	Лефортово Отрадное Проспект Вернадского Хамовники	Москва, проспект Вернадского, 82
31	Российский государственный университет им. А.Н. Косыгина	ЦАО	Замоскворечье	Москва, Садовническая улица, дом 33, строение 1
32	МГЮА имени О.Е. Кутафина (Юридический университет)	ЦАО	Пресненский	Москва, Садовая-Кудринская улица, дом 9, строение 1
33	Медицинский университет РНИМУ им. Н.И. Пирогова	ЮЗАО	Обручевский	Москва, улица Островитянова, дом 1
34	Московский политехнический университет	ЦАО САО ВАО ЮАО ЮВАО СВАО	Алексеевский Даниловский Коптево Красносельский Лефортово Соколиная гора Тимирязевский Южнопортовый	Москва, Большая Семёновская улица, дом 38
35	Московский архитектурный институт (государственная академия)	ЦАО	Мещанский	Москва, улица Рождественка, дом 11/4, корпус 1, строение 4
36	Московский городской педагогический университет (МГПУ)	ЦАО САО ЗАО ВАО ЮАО ЮЗАО СВАО СЗАО ЗелАО	Алексеевский Арбат Басманный Донской Дорогомилово Замоскворечье Ивановское Измайлово Коптево Ломоносовский Марьина роща Матушкино Медведково Северное Мещанский Пресненский Ростокино Савёловский Силино Тверской Тимирязевский Тушино Южное Хорошёво-Мневники Черёмушки	Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 1
37	Всероссийская академия внешней торговли (ВАВТ) Минэкономразвития РФ	ЗАО	Раменки	Москва, улица Пудовкина, дом 4А
38	Институт мировых цивилизаций (ИМЦ)	ЦАО	Красносельский Якиманка	Москва, Ленинский проспект, д.1/2, корп. 1
39	Московский технический университет связи и информатики	ЮВАО СЗАО	Лефортово Хорошёво-Мневники	Москва, Авиамоторная улица, дом 8, строение 2
40	Московский государственный университет пищевых производств, МГУПП	САО	Сокол Таганский	Москва, Волоколамское шоссе, дом 11
41	«Московская академия Следственного комитета Российской Федерации»	САО	Сокол	Москва, улица Врубеля, дом 12
42	Институт Экономики Бизнеса (ИНЭКБИ)	ЮАО	Даниловский	Москва, Дубининская улица, дом 51
43	Институт бизнеса и дизайна	ЦАО	Мещанский	Москва, Протопоповский переулок, дом 9, строение 1
44	Государственный институт русского языка им. А.С. Пушкина	ЮЗАО	Обручевский	Москва, улица Академика Волгина, дом 6
45	Московский государственный университет спорта и туризма	САО ВАО ЮАО	Головинский Преображенское Чертаново Южное	Москва, улица Кировоградская, д. 21, корп.1
46	Московская Государственная Художественно-Промышленная Академия имени С.Г. Строганова	САО	Сокол	Москва, Волоколамское шоссе, дом 9
47	Московский государственный институт музыки имени А.Г. Шнитке	СЗАО	Щукино	Москва, ул. Маршала Соколовского, 10
48	Литературный институт имени А.М. Горького	ЦАО	Тверской	Москва, ул. Тверской Бульвар, д. 25
49	Московский художественно-промышленный институт (МХПИ)	ЦАО	Басманный Якиманка	Москва, ул. 2-ая Бауманская д. 9/23, стр. 3
50	Институт театрального искусства (ИТИ) имени Иосифа Кобзона	СВАО	Марфино	Москва, ул. Ботаническая, д. 21
51	Государственный университет управления (ГУУ)	ЮВАО	Выхино-Жулебино	Москва, Рязанский проспект, дом 99
